in s,C2 in V
-4.3836128E-02,1.64795E-02
-4.3835528E-02,1.28174E-02
-4.3834928E-02,1.42822E-02
-4.3834328E-02,8.42285E-03
-4.3833728E-02,1.42822E-02
-4.3833128E-02,1.13525E-02
-4.3832528E-02,1.06201E-02
-4.3831928E-02,1.28174E-02
-4.3831328E-02,9.15527E-03
-4.3830728E-02,1.64795E-02
-4.3830128E-02,1.35498E-02
-4.3829528E-02,1.50146E-02
-4.3828928E-02,1.57471E-02
-4.3828328E-02,1.13525E-02
-4.3827728E-02,9.88770E-03
-4.3827128E-02,1.35498E-02
-4.3826528E-02,1.42822E-02
-4.3825928E-02,1.57471E-02
-4.3825328E-02,1.79443E-02
-4.3824728E-02,1.28174E-02
-4.3824128E-02,1.57471E-02
-4.3823528E-02,1.28174E-02
-4.3822928E-02,9.15527E-03
-4.3822328E-02,1.35498E-02
-4.3821728E-02,1.28174E-02
-4.3821128E-02,1.28174E-02
-4.3820528E-02,1.50146E-02
-4.3819928E-02,1.28174E-02
-4.3819328E-02,1.57471E-02
-4.3818728E-02,1.28174E-02
-4.3818128E-02,1.20850E-02
-4.3817528E-02,9.15527E-03
-4.3816928E-02,1.57471E-02
-4.3816328E-02,1.64795E-02
-4.3815728E-02,1.06201E-02
-4.3815128E-02,1.57471E-02
-4.3814528E-02,1.06201E-02
-4.3813928E-02,1.50146E-02
-4.3813328E-02,1.28174E-02
-4.3812728E-02,1.57471E-02
-4.3812128E-02,2.01416E-02
-4.3811528E-02,1.13525E-02
-4.3810928E-02,1.57471E-02
-4.3810328E-02,1.50146E-02
-4.3809728E-02,1.57471E-02
-4.3809128E-02,1.13525E-02
-4.3808528E-02,1.57471E-02
-4.3807928E-02,1.42822E-02
-4.3807328E-02,1.57471E-02
-4.3806728E-02,1.72119E-02
-4.3806128E-02,9.15527E-03
-4.3805528E-02,1.50146E-02
-4.3804928E-02,1.13525E-02
-4.3804328E-02,1.57471E-02
-4.3803728E-02,1.42822E-02
-4.3803128E-02,1.42822E-02
-4.3802528E-02,1.57471E-02
-4.3801928E-02,1.35498E-02
-4.3801328E-02,1.57471E-02
-4.3800728E-02,7.69043E-03
-4.3800128E-02,1.64795E-02
-4.3799528E-02,1.42822E-02
-4.3798928E-02,1.86768E-02
-4.3798328E-02,1.20850E-02
-4.3797728E-02,1.57471E-02
-4.3797128E-02,1.72119E-02
-4.3796528E-02,1.35498E-02
-4.3795928E-02,1.64795E-02
-4.3795328E-02,1.13525E-02
-4.3794728E-02,1.72119E-02
-4.3794128E-02,1.20850E-02
-4.3793528E-02,1.64795E-02
-4.3792928E-02,1.50146E-02
-4.3792328E-02,1.13525E-02
-4.3791728E-02,1.50146E-02
-4.3791128E-02,1.64795E-02
